tconst	averageRating	numVotes
tt0000001	5.7	2009
tt0000011	5.2	378
tt0000022	5.1	1117
tt0000032	5.0	428
tt0000042	4.1	38
tt0000052	4.2	111
tt0000062	6.2	205
tt0000072	3.5	28
tt0000082	4.8	50
tt0000092	4.5	30
tt0000102	4.7	27
tt0000112	4.5	533
tt0000122	5.1	32
tt0000132	5.1	1105
tt0000143	5.0	276
tt0000153	5.7	489
tt0000163	5.0	14
tt0000173	4.6	45
tt0000184	4.8	334
tt0000199	4.0	14
tt0000214	4.2	103
tt0000231	2.9	20
tt0000251	5.3	155
tt0000274	5.6	276
tt0000286	5.7	278
tt0000306	5.3	249
tt0000337	4.9	380
tt0000357	5.8	487
tt0000377	6.1	134
tt0000407	3.6	40
tt0000425	4.9	25
tt0000447	6.4	2628
tt0000472	6.3	23
tt0000498	6.6	1288
tt0000516	6.6	1098
tt0000535	4.9	66
tt0000561	5.0	61
tt0000583	5.2	52
tt0000601	5.8	12
tt0000621	6.5	611
tt0000640	4.4	146
tt0000658	6.4	280
tt0000671	5.7	15
tt0000683	5.4	86
tt0000700	5.1	78
tt0000724	5.3	42
tt0000739	6.2	16
tt0000755	5.7	218
tt0000772	5.8	20
tt0000789	5.0	68
tt0000809	6.1	63
tt0000828	5.2	114
tt0000843	5.2	41
tt0000857	4.6	38
tt0000874	4.7	52
tt0000891	5.5	61
tt0000903	5.4	22
tt0000921	5.0	26
tt0000936	6.2	123
tt0000956	5.6	16
tt0000970	5.8	83
tt0000987	7.8	10
tt0001002	4.8	101
tt0001020	4.2	14
tt0001038	3.7	22
tt0001061	6.6	64
tt0001075	4.4	17
tt0001089	8.2	38
tt0001104	4.8	59
tt0001118	5.5	211
tt0001145	5.8	10
tt0001176	4.2	40
tt0001206	6.0	44
tt0001234	5.4	44
tt0001256	5.9	569
tt0001285	5.4	59
tt0001315	5.9	26
tt0001348	4.0	12
tt0001380	3.6	11
tt0001410	4.6	22
tt0001446	5.3	18
tt0001475	7.4	23
tt0001508	4.8	51
tt0001532	5.2	14
tt0001564	4.1	31
tt0001592	6.0	26
tt0001630	6.2	37
tt0001671	5.1	38
tt0001712	4.6	8
tt0001740	6.5	1305
tt0001776	6.4	240
tt0001815	6.6	27
tt0001865	5.8	85
tt0001910	5.3	75
tt0001941	5.0	94
tt0001987	6.1	25
tt0002033	5.3	42
tt0002068	4.9	53
tt0002098	5.9	153
tt0002132	5.7	22
tt0002160	6.2	139
tt0002196	4.6	20
tt0002214	6.0	43
tt0002253	4.5	14
tt0002278	5.1	40
tt0002303	5.6	203
tt0002342	5.7	104
tt0002375	5.7	12
tt0002398	5.1	54
tt0002423	6.6	979
tt0002451	8.5	22
tt0002497	6.3	123
tt0002523	5.7	104
tt0002542	5.7	26
tt0002569	5.3	254
tt0002603	4.7	61
tt0002656	5.5	48
tt0002726	4.8	10
tt0002784	5.0	50
tt0002829	4.6	31
tt0002885	5.9	113
tt0002922	5.0	80
tt0003001	4.7	20
tt0003046	6.6	58
tt0003102	6.2	148
tt0003159	5.9	53
tt0003214	6.1	314
tt0003278	7.1	20
tt0003337	5.6	56
tt0003388	4.0	11
tt0003438	5.7	34
tt0003489	6.1	609
tt0003536	4.8	17
tt0003589	6.1	45
tt0003609	5.1	14
tt0003641	5.2	19
tt0003679	5.4	1730
tt0003740	7.1	3860
tt0003784	5.5	28
tt0003838	5.8	45
tt0003884	6.7	110
tt0003949	5.3	199
tt0003980	5.6	28
tt0004022	6.3	67
tt0004064	5.1	28
tt0004108	6.2	946
tt0004168	5.2	19
tt0004205	6.5	20
tt0004238	5.4	18
tt0004279	5.6	429
tt0004307	5.4	25
tt0004363	7.2	19
tt0004391	5.8	55
tt0004438	5.2	15
tt0004536	5.2	35
tt0004600	6.8	38
tt0004681	5.9	264
tt0004730	7.9	185
tt0004821	8.7	9
tt0004866	4.0	24
tt0004905	5.2	51
tt0004971	5.3	151
tt0005044	5.7	1855
tt0005062	4.7	21
tt0005099	4.3	11
tt0005179	5.6	61
tt0005204	5.8	118
tt0005235	4.5	16
tt0005316	6.1	100
tt0005368	5.0	21
tt0005415	4.4	8
tt0005446	6.2	39
tt0005496	7.1	14
tt0005545	7.1	25
tt0005566	6.1	16
tt0005604	5.4	22
tt0005661	6.0	129
tt0005680	5.9	205
tt0005746	5.0	22
tt0005793	5.7	15
tt0005838	4.5	58
tt0005901	5.8	21
tt0005951	6.8	809
tt0005994	8.4	15
tt0006047	5.3	14
tt0006119	6.7	27
tt0006177	6.9	3658
tt0006238	7.5	40
tt0006291	7.4	28
tt0006332	5.7	11
tt0006359	6.0	94
tt0006402	6.1	17
tt0006437	7.4	30
tt0006457	5.8	37
tt0006503	6.4	12
tt0006557	6.2	26
tt0006592	6.0	83
tt0006617	6.2	270
tt0006653	6.5	32
tt0006692	4.6	38
tt0006726	6.0	38
tt0006773	5.9	41
tt0006826	5.9	929
tt0006863	5.4	17
tt0006914	5.7	55
tt0006995	6.7	34
tt0007031	6.0	104
tt0007094	8.4	34
tt0007120	7.1	33
tt0007183	6.6	822
tt0007229	7.8	22
tt0007260	6.2	202
tt0007311	4.9	13
tt0007367	5.8	559
tt0007433	6.7	539
tt0007491	5.6	15
tt0007534	5.1	13
tt0007620	5.1	48
tt0007678	6.6	16
tt0007711	7.0	69
tt0007761	6.3	1824
tt0007801	6.6	383
tt0007826	5.5	13
tt0007880	7.4	5684
tt0007956	6.0	121
tt0008010	5.7	31
tt0008040	5.4	11
tt0008091	6.0	20
tt0008144	4.2	36
tt0008177	6.1	16
tt0008234	5.4	14
tt0008285	5.2	15
tt0008353	5.5	26
tt0008381	8.5	120
tt0008426	7.8	13
tt0008491	5.1	25
tt0008523	5.6	1535
tt0008549	6.1	16
tt0008605	4.3	48
tt0008639	5.6	149
tt0008677	5.2	14
tt0008720	5.4	17
tt0008761	3.5	25
tt0008803	6.3	13
tt0008825	5.7	30
tt0008848	4.7	64
tt0008882	7.7	28
tt0008906	4.3	18
tt0008950	5.9	400
tt0008983	3.9	24
tt0009021	5.2	12
tt0009079	6.3	58
tt0009109	6.4	133
tt0009137	7.4	29
tt0009176	7.0	11
tt0009220	6.7	17
tt0009252	6.2	39
tt0009304	5.1	25
tt0009354	6.6	12
tt0009406	5.7	59
tt0009436	7.1	24
tt0009481	6.4	13
tt0009544	8.2	36
tt0009559	6.3	432
tt0009588	4.1	18
tt0009611	7.3	7280
tt0009650	5.2	44
tt0009689	5.9	113
tt0009721	6.8	29
tt0009766	5.4	27
tt0009825	5.9	42
tt0009853	5.4	39
tt0009892	5.5	1222
tt0009918	7.6	62
tt0009960	6.8	20
tt0009987	6.6	18
tt0010023	5.5	75
tt0010061	6.7	123
tt0010108	6.7	186
tt0010137	5.9	748
tt0010183	5.0	26
tt0010203	6.8	84
tt0010229	5.4	33
tt0010259	6.5	45
tt0010307	7.7	2002
tt0010328	6.2	75
tt0010386	6.3	138
tt0010432	1.3	28
tt0010472	4.4	52
tt0010505	6.0	16
tt0010540	6.9	57
tt0010570	7.2	17
tt0010628	4.2	63
tt0010656	5.6	324
tt0010715	5.9	21
tt0010762	7.0	22
tt0010799	6.9	11
tt0010853	6.6	228
tt0010915	6.4	27
tt0010953	6.3	258
tt0010978	5.7	12
tt0011024	5.2	28
tt0011071	7.1	3469
tt0011110	7.3	12
tt0011131	5.4	185
tt0011170	5.6	34
tt0011216	7.0	33
tt0011238	6.2	21
tt0011267	5.2	320
tt0011301	5.5	16
tt0011336	5.6	35
tt0011369	8.2	123
tt0011414	5.8	173
tt0011450	7.7	23
tt0011499	7.6	129
tt0011530	7.2	30
tt0011575	5.8	69
tt0011612	5.7	41
tt0011652	6.1	1733
tt0011692	5.5	34
tt0011731	3.9	25
tt0011765	6.6	23
tt0011816	5.8	23
tt0011858	5.2	19
tt0011890	6.4	33
tt0011922	6.6	823
tt0011948	6.8	462
tt0011969	7.0	13
tt0011998	7.0	48
tt0012045	6.4	15
tt0012091	5.8	12
tt0012117	6.5	26
tt0012174	6.9	67
tt0012202	7.7	21
tt0012255	6.9	3537
tt0012304	7.3	4100
tt0012337	6.8	9
tt0012366	7.0	64
tt0012406	7.1	48
tt0012445	4.7	22
tt0012486	6.2	301
tt0012529	5.9	28
tt0012570	7.5	4491
tt0012627	5.8	57
tt0012682	5.1	16
tt0012724	4.8	10
tt0012754	6.4	59
tt0012807	5.4	27
tt0012855	6.5	16
tt0012880	6.0	9
tt0012926	7.1	44
tt0012952	6.3	1501
tt0012997	6.0	32
tt0013034	1.6	25
tt0013085	6.2	392
tt0013110	4.5	21
tt0013137	7.0	39
tt0013182	6.6	43
tt0013229	8.0	19
tt0013263	7.1	61
tt0013293	5.7	27
tt0013323	5.1	519
tt0013363	5.5	27
tt0013391	5.4	12
tt0013427	7.6	13223
tt0013454	6.1	29
tt0013488	6.7	124
tt0013512	7.3	133
tt0013549	6.9	62
tt0013579	6.6	1102
tt0013617	5.5	23
tt0013662	7.0	505
tt0013699	4.8	12
tt0013735	5.2	123
tt0013795	6.6	16
tt0013829	7.3	14
tt0013853	6.3	56
tt0013872	6.7	84
tt0013902	7.1	38
tt0013925	6.1	26
tt0013951	6.6	751
tt0013982	6.4	118
tt0014014	7.0	148
tt0014040	6.7	27
tt0014069	6.6	28
tt0014112	5.2	164
tt0014144	5.6	18
tt0014171	4.6	76
tt0014188	4.5	21
tt0014211	7.4	22
tt0014249	5.6	19
tt0014298	6.7	37
tt0014323	5.9	94
tt0014363	6.6	95
tt0014408	6.8	20
tt0014438	5.1	53
tt0014453	3.9	19
tt0014496	6.7	63
tt0014521	7.1	28
tt0014543	5.2	24
tt0014582	6.2	62
tt0014608	6.1	40
tt0014644	5.8	33
tt0014659	4.8	193
tt0014679	6.4	46
tt0014713	6.8	39
tt0014752	7.0	32
tt0014775	3.4	21
tt0014837	4.0	21
tt0014882	6.6	88
tt0014903	6.3	132
tt0014950	6.3	23
tt0014977	3.4	52
tt0014997	6.8	43
tt0015022	5.5	718
tt0015064	8.0	14962
tt0015103	5.3	34
tt0015141	6.9	94
tt0015168	6.9	62
tt0015191	5.3	22
tt0015219	6.1	111
tt0015241	4.8	13
tt0015273	6.7	14
tt0015313	6.0	45
tt0015347	6.6	24
tt0015376	7.1	27
tt0015400	7.7	6828
tt0015423	7.3	21
tt0015453	4.7	25
tt0015492	6.7	40
tt0015518	8.5	155
tt0015542	4.8	42
tt0015558	5.2	209
tt0015577	6.6	80
tt0015617	6.7	25
tt0015638	6.1	23
tt0015669	5.6	72
tt0015690	5.0	14
tt0015720	4.2	19
tt0015742	6.7	17
tt0015768	7.0	2303
tt0015800	6.1	88
tt0015840	6.0	104
tt0015864	8.1	116888
tt0015900	5.7	37
tt0015921	7.4	186
tt0015948	6.8	191
tt0015965	5.0	15
tt0015987	7.1	47
tt0015998	6.4	27
tt0016028	6.8	1041
tt0016051	6.4	44
tt0016073	6.0	16
tt0016107	5.8	95
tt0016145	7.2	10
tt0016185	7.0	475
tt0016212	6.2	63
tt0016231	6.0	33
tt0016251	5.1	206
tt0016295	6.5	11
tt0016325	6.4	65
tt0016358	1.9	177
tt0016377	5.9	133
tt0016399	5.2	34
tt0016434	6.8	10
tt0016468	5.2	26
tt0016493	6.6	251
tt0016523	7.1	16
tt0016545	5.4	345
tt0016570	5.6	32
tt0016587	4.8	145
tt0016598	5.8	26
tt0016627	7.1	1268
tt0016642	7.0	20
tt0016662	6.1	22
tt0016679	5.3	21
tt0016703	7.7	19
tt0016726	6.6	107
tt0016762	6.6	195
tt0016784	4.8	17
tt0016815	4.6	32
tt0016841	6.0	15
tt0016855	6.1	14
tt0016881	6.1	28
tt0016902	5.2	28
tt0016920	5.6	8
tt0016946	2.1	22
tt0016971	5.8	176
tt0017001	1.7	23
tt0017022	6.7	14
tt0017040	7.0	49
tt0017056	2.7	28
tt0017077	6.7	20
tt0017097	5.4	63
tt0017117	7.0	24
tt0017129	5.6	10
tt0017158	6.7	22
tt0017196	6.6	951
tt0017212	6.4	35
tt0017234	5.2	14
tt0017254	5.2	19
tt0017279	7.0	31
tt0017311	7.1	69
tt0017335	4.6	11
tt0017356	5.4	19
tt0017382	6.7	315
tt0017408	5.4	21
tt0017423	7.3	1438
tt0017449	6.9	1325
tt0017480	6.9	908
tt0017507	5.2	22
tt0017527	5.2	15
tt0017544	5.3	24
tt0017566	2.6	26
tt0017593	7.3	84
tt0017606	6.2	27
tt0017616	5.3	20
tt0017637	6.7	39
tt0017668	7.6	4715
tt0017698	7.0	25
tt0017729	6.0	619
tt0017747	4.7	32
tt0017766	4.9	31
tt0017793	4.7	18
tt0017813	6.8	1075
tt0017839	7.0	70
tt0017863	2.0	18
tt0017886	6.2	269
tt0017902	5.0	17
tt0017923	5.6	10
tt0017941	7.8	6
tt0017960	6.0	26
tt0017990	5.8	23
tt0018016	6.3	288
tt0018037	6.4	10872
tt0018055	5.2	23
tt0018082	7.2	15
tt0018107	6.9	1141
tt0018138	6.1	393
tt0018170	6.2	68
tt0018194	5.3	24
tt0018211	7.2	45
tt0018236	5.8	20
tt0018262	6.9	22
tt0018294	6.6	986
tt0018320	4.5	21
tt0018346	3.4	45
tt0018375	5.6	96
tt0018392	7.2	466
tt0018410	6.9	132
tt0018443	6.9	22
tt0018465	2.6	192
tt0018486	1.9	16
tt0018509	6.4	609
tt0018526	7.5	3383
tt0018549	5.0	19
tt0018579	4.5	210
tt0018608	1.0	14
tt0018624	4.9	28
tt0018642	5.8	27
tt0018671	5.2	21
tt0018689	6.1	79
tt0018713	6.9	14
tt0018729	7.9	32
tt0018746	4.3	19
tt0018770	7.3	4398
tt0018808	5.0	39
tt0018829	6.3	11
tt0018851	6.6	70
tt0018873	6.8	1417
tt0018892	6.1	38
tt0018920	5.6	95
tt0018958	7.3	9
tt0018972	6.6	545
tt0018996	6.1	194
tt0019022	6.9	23
tt0019050	7.1	57
tt0019067	6.9	532
tt0019096	5.7	908
tt0019130	7.6	7819
tt0019152	6.8	391
tt0019179	5.3	31
tt0019203	3.3	42
tt0019227	6.4	300
tt0019248	6.3	38
tt0019265	6.9	19
tt0019296	6.4	18
tt0019317	5.3	20
tt0019338	6.2	39
tt0019369	6.4	35
tt0019381	7.2	103
tt0019403	7.6	868
tt0019431	7.4	29
tt0019453	5.2	77
tt0019472	3.1	25
tt0019491	7.2	63
tt0019514	7.3	103
